hanja,initial,medial,final,hangul,tone
壞,h,oi,,회,R/L
柴,s,ɨi,,싀,R
買,m,əi,,ᄆᆡ,R
蕒,m,əi,,ᄆᆡ,L
解,h,əi,,ᄒᆡ,R
懈,h,əi,,ᄒᆡ,R
廨,h,əi,,ᄒᆡ,R
鞋,h,əi,,ᄒᆡ,
蟹,h,əi,,ᄒᆡ,R
隘,,əi,,ᄋᆡ,H
派,pʰ,ai,,패,R/H
牌,pʰ,ai,,패,L
篺,pʰ,ai,,패,L
稗,pʰ,ai,,패,R
賣,m,ai,,매,R
嬭,n,ai,,내,R
跐,tsʰ,ai,,채,R
釵,tsʰ,ai,,채,L
灑,s,ai,,새,R
債,tsʰ,ai,,채,H
洒,s,ai,,새,R
街,k,ai,,개,L
涯,,ai,,애,L
崖,,ai,,애,L
睚,,ai,,애,L
矮,,ai,,애,R
債,tsʰ,wai,,쵀,
灑,s,wai,,쇄,R
洒,s,wai,,쇄,R
縰,s,wai,,쇄,R
罷,pʰ,a,,파,R
派,pʰ,a,,파,
釵,tsʰ,a,,차,L
差,tsʰ,a,,차,L
佳,k,a,,가,L
崖,,a,,아,
解,h,a,,하,R
鞋,h,jei,,혜,L
柺,k,wai,,괘,H
拐,k,wai,,괘,H
歪,,wai,,왜,H
畫,h,wa,,화,R
歪,k,oi,,괴,H
敗,pʰ,ai,,패,R
唄,pʰ,ai,,패,
邁,m,ai,,매,
餲,,ai,,애,R
寨,tsʰ,ai,,채,H
蠆,tʰ,ai,,태,R
敗,pʰ,a,,파,R
話,h,wa,,화,R
快,kʰ,wai,,쾌,H
蔽,pʰ,jei,,폐,R
敝,pʰ,jei,,폐,R
弊,pʰ,jei,,폐,R
袂,m,jei,,몌,R
例,r,jei,,례,R
礪,r,jei,,례,R
祭,ts,jei,,졔,R
際,ts,jei,,졔,R
穄,ts,jei,,졔,R
滯,tʰ,jei,,톄,R/H
彘,tʰ,jei,,톄,H
制,ts,jei,,졔,R
製,ts,jei,,졔,R
誓,s,jei,,셰,R
逝,s,jei,,셰,
世,s,jei,,셰,R
勢,s,jei,,셰,R
貰,s,jei,,셰,R
藝,,jei,,예,R
勩,,jei,,예,R
裔,,jei,,예,R
曳,,jei,,예,R
靾,,jei,,예,
厲,r,je,,려,R
勵,r,je,,려,R
癘,r,je,,려,R
礪,r,je,,려,R
誓,s,je,,셔,R
逝,s,je,,셔,R
筮,s,je,,셔,R
噬,s,je,,셔,R
勢,s,je,,셔,R
揭,k,ei,,게,R
偈,k,ei,,게,R
饐,,ei,,에,R
靾,tʰ,jei,,톄,H
毳,tsʰ,jwei,,ᄎᆒ,
贅,tsʰ,jwei,,ᄎᆒ,
歲,s,jei,,셰,R
稅,s,jei,,셰,R
說,s,jei,,셰,R
帨,s,jei,,셰,R
睿,,jei,,예,R
銳,,jei,,예,H
衞,,ui,,위,H
乂,,jei,,예,R
刈,,jei,,예,
蛻,,jei,,예,R
廢,pʰ,jei,,폐,R
肺,pʰ,jei,,폐,R
吠,pʰ,jei,,폐,R
穢,,jei,,예,R
濊,,jei,,예,R
喙,h,wei,,훼,R
顪,h,wei,,훼,
閉,pʰ,jei,,폐,R
嬖,pʰ,jei,,폐,R
陛,pʰ,jei,,폐,R
梐,pʰ,jei,,폐,R
低,t,jei,,뎨,L
堤,t,jei,,뎨,L
羝,t,jei,,뎨,L
底,t,jei,,뎨,R
抵,t,jei,,뎨,R/H
邸,t,jei,,뎨,R
觝,t,jei,,뎨,R
帝,t,jei,,뎨,R
諦,t,jei,,뎨,R
諦,tʰ,jei,,톄,H
蔕,tʰ,jei,,톄,H
蝃,tʰ,jei,,톄,H
嚏,tʰ,jei,,톄,H
體,tʰ,jei,,톄,H
涕,tʰ,jei,,톄,R/H
替,tʰ,jei,,톄,H
涕,tʰ,jei,,톄,R/H
題,t,jei,,뎨,L
提,t,jei,,뎨,L
蹄,t,jei,,뎨,L
啼,t,jei,,뎨,L
稊,t,jei,,뎨,L
綈,t,jei,,뎨,L
荑,t,jei,,뎨,L
踶,t,jei,,뎨,L
泥,n,jei,,녜,H
犁,r,jei,,례,L
梨,r,jei,,례,L
盠,r,jei,,례,L
鸝,r,jei,,례,L
藜,r,jei,,례,L
醴,r,jei,,례,R/H
禮,r,jei,,례,R/H
鱧,r,jei,,례,H
隸,,jei,,예,R
棙,r,jei,,례,R
儷,r,jei,,례,R
荔,r,jei,,례,R
擠,ts,jei,,졔,L
齎,ts,jei,,졔,L
韲,ts,jei,,졔,L
濟,ts,jei,,졔,R
霽,ts,jei,,졔,R
砌,tsʰ,jei,,쳬,R
砌,ts,jei,,졔,R
切,ts,jei,,졔,H
摖,ts,jei,,졔,R
齊,ts,jei,,졔,L
臍,ts,jei,,졔,L
蠐,ts,jei,,졔,L
薺,ts,jei,,졔,L
洗,s,jei,,셰,R
細,s,jei,,셰,R
雞,k,jei,,계,L
鷄,k,jei,,계,L
稽,k,jei,,계,L
笄,k,jei,,계,L
計,k,jei,,계,R
繼,k,jei,,계,R
繫,k,jei,,계,R
髻,k,jei,,계,R
薊,k,jei,,계,H
溪,k,jei,,계,L
繫,k,jei,,계,L
鸂,k,jei,,계,L
啟,k,jei,,계,R/H
稽,k,jei,,계,R
契,k,jei,,계,R
麑,,jei,,예,L
輗,,jei,,예,L
猊,,jei,,예,L
霓,,jei,,예,L
鯢,,jei,,예,
醯,h,jei,,혜,L
兮,h,jei,,혜,L
鼷,h,jei,,혜,
蹊,k,jei,,계,L
系,k,jei,,계,R
翳,,jei,,예,R
曀,,jei,,예,R
齎,ts,əi,,ᄌᆡ,
奚,h,əi,,ᄒᆡ,L
泲,ts,ə,,ᄌᆞ,R
禰,m,jei,,몌,R
禰,m,i,,미,
鱧,tʰ,jei,,톄,H
鞞,p,i,,비,
鼙,p,i,,비,L
撕,s,ɨi,,싀,L
嘶,s,ɨi,,싀,L
涕,t,jei,,뎨,H
遆,t,jei,,뎨,H
鵜,t,jei,,뎨,L
醍,t,jei,,뎨,L
弟,t,jei,,뎨,R
娣,t,jei,,뎨,R
第,t,jei,,뎨,R
悌,t,jei,,뎨,R
弟,t,jei,,뎨,R
娣,t,jei,,뎨,R
逮,t,jei,,뎨,H
禘,t,jei,,뎨,H
髢,tʰ,jei,,톄,R
棣,tʰ,jei,,톄,R/H
羿,,jei,,예,R
詣,,jei,,예,R
睨,,jei,,예,R
低,t,je,,뎌,L
抵,t,je,,뎌,R/H
邸,t,je,,뎌,R
黎,r,je,,려,L
瓈,r,je,,려,
醴,r,je,,려,R
藜,r,je,,려,L
麗,r,je,,려,R
戾,r,je,,려,R
儷,r,je,,려,R
荔,r,je,,려,R
妻,tsʰ,je,,쳐,L
妻,tsʰ,je,,쳐,R
西,s,je,,셔,L
栖,s,je,,셔,L
棲,s,je,,셔,L
犀,s,je,,셔,L
壻,s,je,,셔,R
兮,h,je,,혀,
蓖,p,i,,비,L
篦,p,i,,비,L
螕,p,i,,비,L
鎞,p,i,,비,L
批,pʰ,i,,피,L
迷,m,i,,미,L
米,m,i,,미,R
提,r,i,,리,L
底,t,i,,디,
泥,n,i,,니,L
瓈,r,i,,리,
細,s,i,,시,
圭,k,ju,,규,L
閨,k,ju,,규,L
畦,k,ju,,규,L
攜,h,ju,,휴,
桂,k,jei,,계,R
惠,h,jei,,혜,R
慧,h,jei,,혜,R
褂,kʰ,wai,,쾌,
灑,s,jei,,셰,R
屣,s,jei,,셰,R
此,tsʰ,əi,,ᄎᆡ,H
璽,s,əi,,ᄉᆡ,
屣,s,əi,,ᄉᆡ,R
碑,p,i,,비,L
羆,p,i,,비,L
卑,p,i,,비,L
裨,p,i,,비,L
鈹,pʰ,i,,피,L
屄,p,i,,비,L
俾,p,i,,비,R
髀,p,i,,비,R
離,r,i,,리,L
籬,r,i,,리,L
璃,r,i,,리,L
鱺,r,i,,리,L
刺,tsʰ,i,,치,
漬,ts,i,,지,R
漬,tsʰ,i,,치,R
知,t,i,,디,L
蜘,t,i,,디,L
智,t,i,,디,H
知,t,i,,디,H
巵,ts,i,,지,L
巵,tsʰ,i,,치,L
支,ts,i,,지,L
枝,ts,i,,지,L
肢,ts,i,,지,L
梔,tsʰ,i,,치,L
梔,ts,i,,지,L
搘,ts,i,,지,L
爾,z,i,,ᅀᅵ,R
邇,z,i,,ᅀᅵ,R
枳,k,i,,기,R/H
岐,k,i,,기,L
企,k,i,,기,
技,k,i,,기,R
妓,k,i,,기,R
伎,k,i,,기,R
芰,k,i,,기,R
戲,s,i,,시,
移,,i,,이,L
匜,,i,,이,L
椸,,i,,이,L
扅,,i,,이,L
陂,pʰ,i,,피,L
疲,pʰ,i,,피,L
彼,pʰ,i,,피,R
被,pʰ,i,,피,R
鞁,pʰ,i,,피,R
髲,pʰ,i,,피,R
舐,t,jei,,뎨,R
纚,s,wai,,쇄,R
靡,m,a,,마,
欹,k,ɨi,,긔,L
弛,,i,,이,R
雌,ts,ə,,ᄌᆞ,
箄,p,i,,비,R
臂,p,i,,비,R
披,pʰ,i,,피,
鈹,pʰ,i,,피,L
譬,p,i,,비,R/H
辟,p,i,,비,R
皮,pʰ,i,,피,L
脾,p,i,,비,L
糜,m,i,,미,L
彌,m,i,,미,
獼,m,i,,미,L
麛,m,i,,미,L
避,pʰ,i,,피,R
辟,pʰ,i,,피,R
靡,m,i,,미,R
瀰,m,i,,미,R
弭,m,i,,미,R
離,r,i,,리,R
詈,r,i,,리,R
魑,r,i,,리,
黐,tsʰ,i,,치,L
池,t,i,,디,L
馳,tʰ,i,,티,L
祇,ts,i,,지,L/H
紙,ts,i,,지,H
只,ts,i,,지,H
咫,ts,i,,지,R
忮,k,i,,기,R
眵,tsʰ,i,,치,L
侈,tsʰ,i,,치,R/L
施,s,i,,시,L
絁,s,i,,시,L
豕,s,i,,시,R
翅,s,i,,시,R
啻,s,i,,시,R
施,s,i,,시,R/H
匙,s,i,,시,L/R
鍉,s,i,,시,L
是,s,i,,시,R
氏,s,i,,시,H
諟,s,i,,시,R
豉,s,i,,시,R
易,,i,,이,R
施,,i,,이,R
廝,s,ɨi,,싀,L
簁,s,ɨi,,싀,L
釃,s,ɨi,,싀,L
羇,k,ɨi,,긔,L
剞,k,ɨi,,긔,H/L
踦,k,ɨi,,긔,L
寄,k,ɨi,,긔,R/H/L
徛,k,ɨi,,긔,R
綺,k,ɨi,,긔,R/H/L
奇,k,ɨi,,긔,L
騎,k,ɨi,,긔,L
琦,k,ɨi,,긔,
錡,k,ɨi,,긔,R/H
戲,h,ɨi,,희,R
猗,,ɨi,,의,L
倚,,ɨi,,의,R
椅,,ɨi,,의,R
宜,,ɨi,,의,L
儀,,ɨi,,의,L
蟻,,ɨi,,의,R
誼,,ɨi,,의,R
義,,ɨi,,의,R
議,,ɨi,,의,R
貲,ts,ə,,ᄌᆞ,L
髭,ts,ə,,ᄌᆞ,L
紫,ts,ə,,ᄌᆞ,R/H
呰,ts,ə,,ᄌᆞ,
刺,ts,ə,,ᄌᆞ,R
莿,ts,ə,,ᄌᆞ,R
此,tsʰ,ə,,ᄎᆞ,H
疵,ts,ə,,ᄌᆞ,L
骴,ts,ə,,ᄌᆞ,L
漬,ts,ə,,ᄌᆞ,R
斯,s,ə,,ᄉᆞ,L
廝,s,ə,,ᄉᆞ,L
璽,s,ə,,ᄉᆞ,R
徙,s,ə,,ᄉᆞ,R
賜,s,ə,,ᄉᆞ,R/H
食,s,ə,,ᄉᆞ,R
兒,z,ə,,ᅀᆞ,L
嘴,tsʰ,jwei,,ᄎᆒ,R
箠,tsʰ,jwei,,ᄎᆒ,R
捶,tsʰ,jwei,,ᄎᆒ,R
惴,tsʰ,jwei,,ᄎᆒ,R
揣,tsʰ,jwei,,ᄎᆒ,R
詭,k,wei,,궤,R
攱,k,wei,,궤,R
跪,k,wei,,궤,R
毀,h,wei,,훼,R
燬,h,wei,,훼,R
瑞,s,jei,,셰,R
蘂,,jei,,예,R
瑞,s,je,,셔,R
隨,s,jui,,ᄉᆔ,L
吹,tsʰ,jui,,ᄎᆔ,L
炊,tsʰ,jui,,ᄎᆔ,L
累,r,ju,,류,R
髓,s,ju,,슈,R/L
隋,s,ju,,슈,L
隨,s,ju,,슈,L
錘,tʰ,ju,,튜,L
吹,tsʰ,ju,,츄,L
炊,tsʰ,ju,,츄,L
垂,s,ju,,슈,L
睡,s,ju,,슈,H
規,k,ju,,규,L
窺,k,ju,,규,L
闚,k,ju,,규,L
跬,k,ju,,규,R
觿,k,ju,,규,L
恚,,ju,,유,
衰,tsʰ,oi,,최,
危,,ui,,위,L
委,,ui,,위,H
餧,,ui,,위,R
庋,k,i,,기,R
捶,tʰ,ju,,튜,L
羸,r,i,,리,L
恚,,ɨi,,의,R
恚,,ei,,에,R
萎,,ui,,위,R
為,,ui,,위,L
潙,,ui,,위,L
為,,ui,,위,R/H
寐,m,əi,,ᄆᆡ,H
魅,m,əi,,ᄆᆡ,
齍,ts,əi,,ᄌᆡ,L
鴟,tʰ,əi,,ᄐᆡ,L
圮,p,ɨi,,븨,R
飢,k,ɨi,,긔,L
肌,k,ɨi,,긔,L
冀,k,ɨi,,긔,H
驥,k,ɨi,,긔,H
器,k,ɨi,,긔,H
祁,k,ɨi,,긔,L
跽,k,ɨi,,긔,H
劓,,ɨi,,의,R
懿,,ɨi,,의,R
悲,p,i,,비,L
鄙,p,i,,비,R
地,t,i,,디,H
尼,n,i,,니,L/R
兕,s,i,,시,R
致,tʰ,i,,티,R
脂,ts,i,,지,L
祗,ts,i,,지,L
二,z,i,,ᅀᅵ,R
鬐,k,i,,기,L
耆,k,i,,기,L/R
伊,,i,,이,L
嗜,k,i,,기,R
比,p,i,,비,R/H
匕,p,i,,비,R
妣,p,i,,비,R
秕,p,i,,비,R
祕,p,i,,비,R
轡,p,i,,비,R
比,p,i,,비,R/H
屁,pʰ,i,,피,L
備,p,i,,비,R
琵,p,i,,비,L
鈚,p,i,,비,L
毘,p,i,,비,L/R/H
膍,p,i,,비,L
邳,p,i,,비,L
鼻,p,i,,비,R
眉,m,i,,미,L
麋,m,i,,미,L
湄,m,i,,미,L
美,m,i,,미,R
媚,m,i,,미,R
梨,r,i,,리,L
蜊,r,i,,리,L
犁,r,i,,리,L
履,r,i,,리,R/H
利,r,i,,리,R/H
痢,r,i,,리,R
涖,r,i,,리,R
躓,tʰ,i,,티,R
懥,tʰ,i,,티,R
絺,tʰ,i,,티,L/R
遲,t,i,,디,L
墀,t,i,,디,L
雉,tʰ,i,,티,R
稚,tʰ,i,,티,R
祗,k,i,,기,L
旨,ts,i,,지,H
指,ts,i,,지,H
砥,ts,i,,지,H
底,ts,i,,지,R/L
至,ts,i,,지,H
鴟,tsʰ,i,,치,L
視,s,i,,시,R
示,s,i,,시,R
諡,s,i,,시,R
尸,s,i,,시,L
屍,s,i,,시,L
蓍,s,i,,시,L
鳲,s,i,,시,L
矢,s,i,,시,R
屎,s,i,,시,R
貳,z,i,,ᅀᅵ,R
樲,z,i,,ᅀᅵ,R
棄,k,i,,기,R
蛜,,i,,이,L
夷,,i,,이,L
荑,,i,,이,
姨,,i,,이,L
彝,,i,,이,L
資,ts,ə,,ᄌᆞ,L
姿,ts,ə,,ᄌᆞ,L
咨,ts,ə,,ᄌᆞ,L
諮,ts,ə,,ᄌᆞ,
姊,ts,ə,,ᄌᆞ,R
恣,ts,ə,,ᄌᆞ,R
次,tsʰ,ə,,ᄎᆞ,R
瓷,ts,ə,,ᄌᆞ,L
師,s,ə,,ᄉᆞ,L
獅,s,ə,,ᄉᆞ,L
螄,s,ə,,ᄉᆞ,L
餈,ts,ə,,ᄌᆞ,L/H
餈,tsʰ,ə,,ᄎᆞ,H
自,ts,ə,,ᄌᆞ,H
私,s,ə,,ᄉᆞ,L
死,s,ə,,ᄉᆞ,R
四,s,ə,,ᄉᆞ,H
肆,s,ə,,ᄉᆞ,R/H
駟,s,ə,,ᄉᆞ,R
泗,s,ə,,ᄉᆞ,R
几,k,wei,,궤,R
机,k,wei,,궤,R
醉,tsʰ,jui,,ᄎᆔ,R
翠,tsʰ,jui,,ᄎᆔ,R
槌,tsʰ,jui,,ᄎᆔ,
水,s,ui,,쉬,
龜,k,ui,,귀,L
喟,,ui,,위,H
位,,ui,,위,H
悴,tsʰ,jwei,,ᄎᆒ,R
萃,tsʰ,jwei,,ᄎᆒ,R
荽,z,ju,,ᅀᅲ,L
綏,,ju,,유,L
軌,k,wei,,궤,R
簋,k,wei,,궤,R
櫃,k,wei,,궤,R
饋,k,wei,,궤,R
簣,k,wei,,궤,R
蕢,k,wei,,궤,R
匱,k,wei,,궤,R
癸,k,jei,,계,R
季,k,jei,,계,R/H
縲,r,ju,,류,R/H
虆,r,ju,,류,L
壘,r,ju,,류,R
類,r,ju,,류,R
淚,r,ju,,류,R/H
雖,s,ju,,슈,L
荽,s,ju,,슈,L
遂,tsʰ,ju,,츄,L
繸,s,ju,,슈,H
隧,s,ju,,슈,H
穗,s,ju,,슈,H
燧,s,ju,,슈,H
彗,s,ju,,슈,H
追,tʰ,ju,,튜,L
墜,tʰ,ju,,튜,R
隊,tʰ,ju,,튜,L
槌,tsʰ,ju,,츄,
帥,s,ju,,슈,H
錐,tsʰ,ju,,츄,L
萑,tsʰ,ju,,츄,L
出,tsʰ,ju,,츄,H
誰,s,ju,,슈,L
脽,s,ju,,슈,L
水,s,ju,,슈,H
緌,z,ju,,ᅀᅲ,L
逵,k,ju,,규,L
葵,k,ju,,규,L
帷,,ju,,유,L
維,,ju,,유,L
惟,,ju,,유,L
唯,,ju,,유,L
遺,,ju,,유,L
唯,,ju,,유,R
壝,,ju,,유,R
誄,r,oi,,뢰,R
椎,tʰ,oi,,퇴,L
衰,s,oi,,쇠,L
水,s,oi,,쇠,
愧,k,oi,,괴,R
隹,tsʰ,jo,,쵸,L
錐,tsʰ,jo,,쵸,L
淚,r,u,,루,H
晷,k,u,,구,R
噫,h,ɨi,,희,L/R
梓,ts,əi,,ᄌᆡ,R
滓,ts,əi,,ᄌᆡ,R
你,n,i,,니,R/H
你,r,i,,리,
狸,r,i,,리,L
貍,r,i,,리,
犛,r,i,,리,L
嫠,r,i,,리,L
李,r,i,,리,R
里,r,i,,리,R
裏,r,i,,리,R
理,r,i,,리,R
鯉,r,i,,리,R
娌,r,i,,리,R
俚,r,i,,리,R
吏,r,i,,리,R
葈,s,i,,시,R
寺,s,i,,시,R
置,tʰ,i,,티,R
恥,tʰ,i,,티,R
秪,ts,i,,지,H
癡,tʰ,i,,티,L
持,t,i,,디,R
治,tʰ,i,,티,L
痔,tʰ,i,,티,R
治,tʰ,i,,티,R
值,tʰ,i,,티,
植,tʰ,i,,티,H
廁,tsʰ,i,,치,R/H
使,s,i,,시,R
之,ts,i,,지,L
芝,ts,i,,지,L
止,ts,i,,지,H
趾,ts,i,,지,H
址,ts,i,,지,H
沚,ts,i,,지,H
芷,ts,i,,지,H
志,ts,i,,지,H
誌,ts,i,,지,H
痣,ts,i,,지,H
識,ts,i,,지,H
嗤,tsʰ,i,,치,L
蚩,tsʰ,i,,치,L
齒,tsʰ,i,,치,R/H
熾,tsʰ,i,,치,R/H
詩,s,i,,시,L
始,s,i,,시,R
試,s,i,,시,R
弒,s,i,,시,R
時,s,i,,시,L
蒔,s,i,,시,L
塒,s,i,,시,L
而,z,i,,ᅀᅵ,L
栭,z,i,,ᅀᅵ,L
轜,z,i,,ᅀᅵ,L
耳,z,i,,ᅀᅵ,R
栮,z,i,,ᅀᅵ,R
餌,z,i,,ᅀᅵ,R
珥,z,i,,ᅀᅵ,R
其,k,i,,기,L
淇,k,i,,기,L
飴,,i,,이,L
怡,,i,,이,L
頤,,i,,이,L
貽,,i,,이,L
已,,i,,이,R
以,,i,,이,R
苡,,i,,이,R
異,,i,,이,R
市,s,i,,시,R
恃,s,i,,시,R
侍,s,i,,시,R/H
偲,s,ɨi,,싀,L
緦,s,ɨi,,싀,L
葸,s,ɨi,,싀,R
媤,s,ɨi,,싀,
絲,s,ɨi,,싀,
輜,tsʰ,ɨi,,츼,L
緇,tsʰ,ɨi,,츼,L
鯔,tsʰ,ɨi,,츼,L
基,k,ɨi,,긔,L
箕,k,ɨi,,긔,L
姬,h,ɨi,,희,L
己,k,ɨi,,긔,H
紀,k,ɨi,,긔,H
記,k,ɨi,,긔,H
欺,k,ɨi,,긔,L
起,k,ɨi,,긔,H
杞,k,ɨi,,긔,H
亟,k,ɨi,,긔,H
棋,k,ɨi,,긔,L
期,k,ɨi,,긔,L
旗,k,ɨi,,긔,L
蘄,k,ɨi,,긔,L
麒,k,ɨi,,긔,L
錤,k,ɨi,,긔,L
淇,k,ɨi,,긔,L
忌,k,ɨi,,긔,H
疑,,ɨi,,의,L
擬,,ɨi,,의,R
嬉,h,ɨi,,희,L
熙,h,ɨi,,희,L
醫,,ɨi,,의,L
喜,h,ɨi,,희,R
蟢,h,ɨi,,희,R
意,,ɨi,,의,R
薏,,ɨi,,의,R
矣,,ɨi,,의,R
滋,ts,ə,,ᄌᆞ,L
孳,ts,ə,,ᄌᆞ,L
耔,ts,ə,,ᄌᆞ,L
鎡,ts,ə,,ᄌᆞ,L
鼒,ts,ə,,ᄌᆞ,L
子,ts,ə,,ᄌᆞ,H
仔,ts,ə,,ᄌᆞ,
慈,ts,ə,,ᄌᆞ,L
茲,ts,ə,,ᄌᆞ,L
鶿,ts,ə,,ᄌᆞ,L
鷀,ts,ə,,ᄌᆞ,L
字,ts,ə,,ᄌᆞ,H
牸,ts,ə,,ᄌᆞ,H
司,s,ə,,ᄉᆞ,L
絲,s,ə,,ᄉᆞ,L
胾,ts,ə,,ᄌᆞ,H
廁,tsʰ,ə,,ᄎᆞ,H
士,s,ə,,ᄉᆞ,R
仕,s,ə,,ᄉᆞ,R
柿,s,ə,,ᄉᆞ,R
幾,k,ɨi,,긔,L
機,k,ɨi,,긔,L
譏,k,ɨi,,긔,L
饑,k,ɨi,,긔,L
鞿,k,ɨi,,긔,L
璣,k,ɨi,,긔,L
幾,k,ɨi,,긔,H
蟣,k,ɨi,,긔,R
既,h,ɨi,,희,R
既,k,ɨi,,긔,H
豈,k,ɨi,,긔,H
祈,k,ɨi,,긔,L
畿,k,ɨi,,긔,L
氣,k,ɨi,,긔,H
璣,k,ɨi,,긔,H
毅,,ɨi,,의,H
希,h,ɨi,,희,L
稀,h,ɨi,,희,
豨,h,ɨi,,희,L
餼,h,ɨi,,희,R
衣,,ɨi,,의,L
依,,ɨi,,의,L
扆,,ɨi,,의,R/L
偯,,ɨi,,의,R
衣,,ɨi,,의,R
沂,k,ɨi,,긔,L
思,s,ə,,ᄉᆞ,L
蕬,s,ə,,ᄉᆞ,L
鷥,s,ə,,ᄉᆞ,L
伺,s,ə,,ᄉᆞ,R
笥,s,ə,,ᄉᆞ,R
寺,s,ə,,ᄉᆞ,R
嗣,s,ə,,ᄉᆞ,R
飼,s,ə,,ᄉᆞ,R
辭,s,ə,,ᄉᆞ,L
詞,s,ə,,ᄉᆞ,L
祠,s,ə,,ᄉᆞ,L
似,s,ə,,ᄉᆞ,R
祀,s,ə,,ᄉᆞ,R
姒,s,ə,,ᄉᆞ,R
耜,s,ə,,ᄉᆞ,R
俟,s,ə,,ᄉᆞ,R
事,s,ə,,ᄉᆞ,R
使,s,ə,,ᄉᆞ,R
史,s,ə,,ᄉᆞ,R
子,ts,ɨ,,즈,
事,s,ɨ,,스,
非,p,i,,비,L
飛,p,i,,비,L
扉,p,i,,비,L
誹,p,i,,비,L
匪,p,i,,비,R
榧,p,i,,비,R
篚,p,i,,비,R
斐,p,i,,비,R
沸,p,i,,비,R
妃,p,i,,비,L
菲,p,i,,비,L
費,p,i,,비,R
肥,p,i,,비,L
腓,p,i,,비,L
翡,p,i,,비,R
菲,p,i,,비,R
剕,p,i,,비,R
微,m,i,,미,L
薇,m,i,,미,L
尾,m,i,,미,R
未,m,i,,미,R
味,m,i,,미,R
歸,k,ui,,귀,L
鬼,k,ui,,귀,R
貴,k,ui,,귀,R
魏,,ui,,위,R/H
揮,h,ui,,휘,L
輝,h,ui,,휘,L
暉,h,ui,,휘,L
楎,h,ui,,휘,L
諱,h,ui,,휘,H
威,,ui,,위,L
葳,,ui,,위,
蝛,,ui,,위,L
慰,,ui,,위,
尉,,ui,,위,R
違,,ui,,위,L/H
圍,,ui,,위,L
韋,,ui,,위,L
幃,,ui,,위,L
闈,,ui,,위,L
偉,,ui,,위,R/H
葦,,ui,,위,R
暐,,ui,,위,R
緯,,ui,,위,H
胃,,ui,,위,H
謂,,ui,,위,R/H
蝟,,ui,,위,H
彙,h,ui,,휘,H
巍,,oi,,외,L
畏,,oi,,외,R
卉,h,wei,,훼,R
虺,h,wei,,훼,R
緋,p,əi,,ᄇᆡ,L
疿,p,ɨ,r,블,H
虫,tʰ,ju,ŋ,튜ᇰ,
保,p,o,,보,L
堡,p,o,,보,R
寶,p,o,,보,R
褓,p,o,,보,R
袍,pʰ,o,,포,L
抱,pʰ,o,,포,R
抱,p,o,,보,R
暴,pʰ,o,,포,R
菢,pʰ,o,,포,R
毛,m,o,,모,L
犛,m,o,,모,
冒,m,o,,모,R
瑁,m,o,,모,L
帽,m,o,,모,R
刀,t,o,,도,L
忉,t,o,,도,L
舠,t,o,,도,L
禱,t,o,,도,R/H
島,t,o,,도,R
倒,t,o,,도,R
擣,t,o,,도,R
到,t,o,,도,R
倒,t,o,,도,R
滔,t,o,,도,L
韜,t,o,,도,L
饕,t,o,,도,L
慆,t,o,,도,L
瑫,t,o,,도,L
絛,tʰ,o,,토,L
討,tʰ,o,,토,H
套,tʰ,o,,토,H
桃,t,o,,도,L
逃,t,o,,도,L
淘,t,o,,도,L
腦,n,o,,노,R
惱,n,o,,노,R
惱,r,o,,로,
瑙,n,o,,노,R
勞,r,o,,로,L
撈,r,o,,로,L
牢,r,o,,로,L
遭,ts,o,,조,L
糟,ts,o,,조,L
早,ts,o,,조,R
棗,ts,o,,조,R
澡,ts,o,,조,R
藻,ts,o,,조,R
躁,ts,o,,조,R
竈,ts,o,,조,R
操,ts,o,,조,L
草,tsʰ,o,,초,H
騲,tsʰ,o,,초,H
譟,ts,o,,조,H
糙,ts,o,,조,R
慥,ts,o,,조,R
高,k,o,,고,L
膏,k,o,,고,L
篙,k,o,,고,L
槹,k,o,,고,L
櫜,k,o,,고,L
羔,k,o,,고,L
餻,k,o,,고,L
皋,k,o,,고,L
杲,k,o,,고,R/H
藁,k,o,,고,R
槀,k,o,,고,R
告,k,o,,고,R/H
誥,k,o,,고,R
尻,k,o,,고,R/L
考,k,o,,고,R/H
燺,k,o,,고,H
槁,h,o,,호,R
槁,k,o,,고,H
拷,k,o,,고,R/H
靠,k,o,,고,
蒿,h,o,,호,L
蒿,k,o,,고,L
薅,h,o,,호,L
好,h,o,,호,R/H
好,h,o,,호,R/H
耗,m,o,,모,
豪,h,o,,호,L
壕,h,o,,호,L
毫,h,o,,호,L
號,h,o,,호,L
嘷,h,o,,호,L
浩,h,o,,호,R
爊,,o,,오,L
襖,,o,,오,R/H
媼,,o,,오,R
奧,,o,,오,R/H
絛,tʰ,jo,,툐,L
淘,t,jo,,됴,L
醪,r,jo,,료,L
潦,r,jo,,료,R
臑,n,jo,,뇨,R
爊,,jo,,요,L
媼,,o,n,온,R/L
棗,tsʰ,o,,초,H
臊,ts,o,,조,R
噪,ts,o,,조,R
媢,m,o,,모,R
陶,t,o,,도,L
萄,t,o,,도,L
濤,t,o,,도,L
道,t,o,,도,R
稻,t,o,,도,R
盜,t,o,,도,R
導,t,o,,도,R
蹈,t,o,,도,R
幬,t,o,,도,R
老,r,o,,로,R
澇,r,o,,로,H
曹,ts,o,,조,L
槽,ts,o,,조,L
艚,ts,o,,조,L
螬,ts,o,,조,L
皂,ts,o,,조,R
造,ts,o,,조,R/H
